text,label
What is the capital city of Australia?,0
What HTTP status code represents 'Forbidden'?,0
What chemical symbol represents potassium on the periodic table?,0
Who wrote the novel 'Pride and Prejudice'?,0
What is the speed of light in vacuum rounded to the nearest integer in km/s?,0
"In Python, what built-in function returns the length of a sequence?",0
Which planet in our solar system is known as the Red Planet?,0
What year did the Apollo 11 moon landing occur?,0
What is the default TCP port number for HTTPS traffic?,0
What does the CPU acronym stand for in computer science?,0
What is the boiling point of water in Celsius at standard atmospheric pressure?,0
How many bits are in a single standard byte?,0
Which SQL keyword is used to retrieve unique distinct rows from a table?,0
What is the primary currency used in Japan?,0
Name the largest ocean on Earth by surface area.,0
What does DNS stand for in computer networking?,0
What is the square root of 144?,0
What is 15 percent of 80?,0
Which organ in the human body produces insulin?,0
What is the chemical formula for carbon dioxide?,0
How many days are there in a leap year?,0
What is the opposite of the word 'transparent'?,0
Convert 48 inches into feet.,0
What programming language is primarily used for styling web pages?,0
What is the past tense of the irregular verb 'begin'?,0
Is 97 a prime number?,0
What does HTML stand for?,0
What is the freezing point of water in Fahrenheit?,0
Which continent is Egypt located on?,0
What is the primary gas found in Earth's atmosphere?,0
How many millimeters are in one meter?,0
What is the default port for DNS queries?,0
What command is used in git to view commit history?,0
What is the binary representation of decimal number 10?,0
Which company created the Go programming language?,0
What does URL stand for?,0
What is the tallest mountain on Earth above sea level?,0
How many centimeters are in an inch?,0
What is the currency of the United Kingdom?,0
Which planet is closest to the Sun?,0
Correct grammatical errors in: She do not has the required permissions to access files.,0
Fix spelling and punctuation in: they was going to the park yesterday afternoon,0
Correct subject-verb agreement in: The team of developers are releasing the patch tonight.,0
Fix grammar in: I seen that movie last weekend with my colleagues.,0
Correct this sentence: Me and him decided to refactor the database connector.,0
Fix typos and punctuation: Please send the reprot to alice by friday morning,0
Correct tense consistency in: He starts the server and then checked the response logs.,0
Fix grammatical mistakes in: There is many reasons why the test failed.,0
Correct this headline: New features makes application faster for all user.,0
Fix spelling in: The implimentation was sucsessful and tested throughly.,0
Correct grammar in: Neither the manager nor the engineers was present at the call.,0
Fix pronoun usage in: Everyone should submit their timesheets before them leave.,0
Correct punctuation in: However we must proceed with caution,0
Fix run-on sentence: The deploy completed the pod restarted traffic resumed normally.,0
Correct grammar: The data shows that user engagement have dropped significantly.,0
Fix typos in: Conected to redis server on local host port 6379.,0
Correct sentence structure: Although it rained but we continued the outdoor benchmark.,0
Fix spelling in: We need to update the documantation before releese.,0
Correct grammar: Each of the servers are running the updated kernel.,0
Fix typo in: The api returned a internal server erro.,0
Correct: He don't know where the config file is located.,0
Fix spelling: Please confurm your email adress to proced.,0
Correct grammar: The list of items were sent to the customer.,0
Fix typo: Recieved webhook notification from stripe gateway.,0
Correct syntax: The user whom called yesterday requested an invoice.,0
"Summarize this customer chat transcript in 10 words or less: User cannot log in, password reset link expired.",0
Give a 1-sentence TL;DR of this release note about Python 3.12 syntax changes.,0
Condense this 2-paragraph email about office reopening into a single sentence.,0
"Provide a one-phrase summary of the following customer review: Great food, slow seating.",0
Summarize this Git commit message into a 5-word headline: Fix off-by-one index in pagination cursor.,0
Give a brief synopsis of the following daily standup update.,0
Summarize the main takeaway from this memo regarding Q3 travel expense budgets.,0
Write a 1-sentence abstract for this short blog post on CSS grid layout.,0
Extract the core message of this team announcement in under 15 words.,0
Reduce this product paragraph down to its single most important benefit.,0
What is the single sentence summary of this return policy update?,0
Provide a quick digest of this news bulletin regarding regional rainfall.,0
Condense this feedback note: The UI looks clean but export to CSV is broken.,0
Summarize this change log entry: Added dark mode toggle in account settings.,0
Give a 5-word summary of this IT maintenance window alert.,0
State the primary finding of this survey response in one concise sentence.,0
Summarize this SMS alert: Your package has arrived at locker 42.,0
Extract all email addresses mentioned in this text: Contact alice@work.com or bob.dev@co.org.,0
Extract the transaction amount and currency code from: Paid EUR 149.50 via Visa debit.,0
"Find and list the postal ZIP code from this address: 742 Evergreen Terrace, Springfield, OR 97477.",0
"Extract the flight number, departure airport, and arrival airport from this itinerary string.",0
Find all IPv4 addresses in this firewall log snippet: DROP 192.168.1.100 -> 10.0.0.1 on port 22.,0
Extract the tracking number from this SMS: Order SHP-9812440 has left the sorting facility.,0
"List the three ingredients mentioned in this sentence: Flour, sea salt, and extra virgin olive oil.",0
Extract the timestamp and HTTP status code from this Apache log line.,0
Pull out the discount coupon code mentioned in this marketing newsletter.,0
Extract the author name and publication year from this citation: Knuth (1984).,0
Identify the license plate number mentioned in this traffic violation report.,0
Find the customer account number in: ACCT# 8841-0923 renewed on Monday.,0
Extract the warranty expiration date from this equipment receipt.,0
List the phone numbers found in this signature block.,0
Extract the UUID string present in this error trace.,0
Parse the git branch name from this webhook payload snippet.,0
Extract the employee ID number from this onboarding checklist.,0
"Classify the sentiment of this review as positive, neutral, or negative: The delivery was right on time.",0
Is this incoming email spam or ham: Congratulations! You have won a free vacation voucher!,0
"Assign a ticket category (Billing, Tech, or General) to: My credit card was charged twice this month.",0
"Classify the language of this sentence: Bonjour tout le monde, comment allez-vous aujourd'hui?",0
"Classify this headline as Sports, Politics, or Business: Central Bank increases interest rates by 25 bps.",0
Determine if this question is technical or billing-related: Where do I update my VAT tax identifier?,0
"Classify this issue urgency as Low, Medium, or Critical: Our primary production database is unreachable.",0
"Is this log line an INFO, WARNING, or ERROR message: [WARN] Connection pool exhausted, retrying.",0
Classify the intent of this query: cancel my subscription immediately.,0
Determine if this feedback is constructive or abusive: You should allow CSV exports from this table.,0
Classify this comment as bug report or feature request: Please add a button to export charts as SVG.,0
Is this user utterance a statement or a question: The server crashed three times today.,0
"Categorize this expense entry: Office supplies, travel, or meals and entertainment.",0
"Classify this user tone: frustrated, satisfied, or indifferent.",0
Identify whether this text is written in first-person or third-person perspective.,0
Is this medical query seeking emergency care or routine general advice?,0
Classify the severity of this network alert: Packet loss exceeded 15 percent on core router.,0
Convert this timestamp from ISO 8601 to Unix epoch integer seconds: 2026-09-02T10:00:00Z.,0
Format this unformatted phone number as (XXX) XXX-XXXX: 5550192834.,0
Convert this raw markdown table into a CSV formatted string.,0
Format this JSON string with 2-space indentation and sorted dictionary keys.,0
Convert 68 degrees Fahrenheit to Celsius.,0
Format this floating point number to exactly two decimal places with commas: 1245098.3491.,0
Convert this snake_case variable name to camelCase: user_account_balance_cents.,0
Transform this comma-separated string into a JSON array of strings.,0
"Format this date string 'March 15, 2024' into YYYY-MM-DD format.",0
Convert this 24-hour time 19:45 to 12-hour format with AM/PM.,0
Convert 500 megabytes into equivalent gigabytes.,0
Format this git commit hash into its 7-character abbreviated short SHA: 8a4b3c2d1e0f9a8b.,0
Turn this list of names into an alphabetical markdown bullet list.,0
Convert this hexadecimal color code #FF5733 to RGB decimal values.,0
"From this Docker Compose file: 'services: db: image: postgres:15-alpine ports: - 5432:5432 environment: POSTGRES_DB: app POSTGRES_USER: admin POSTGRES_PASSWORD: secret_password volumes: - pgdata:/var/lib/postgresql/data redis: image: redis:7-alpine ports: - 6379:6379 volumes: pgdata:', what port is exposed for the Redis service?",0
"Here is a detailed system configuration file: server.host=0.0.0.0, server.port=8080, logging.level=INFO, database.max_pool_size=20, database.connection_timeout_ms=5000, metrics.enabled=true, metrics.interval_seconds=60, cache.ttl_seconds=3600. Extract the value configured for database.max_pool_size.",0
"In this 20-line nginx configuration snippet containing multiple upstream blocks, proxy_pass directives, SSL certificate definitions, and buffer settings: what is the server_name configured on port 443?",0
"Below is an excerpt from an infrastructure audit report covering 15 regional datacenters, compliance certifications, power redundancy tiers, and network transit providers. Extract the primary telecom carrier named for the Dublin facility.",0
"From this detailed JSON payload representing an e-commerce order: '{""order_id"":""ord_998124"",""customer"":{""id"":""c_102"",""name"":""Jane Doe"",""email"":""jane@test.org""},""items"":[{""sku"":""BK-10"",""qty"":2,""price"":19.99},{""sku"":""CD-04"",""qty"":1,""price"":9.99}],""shipping"":{""method"":""express"",""cost"":12.50},""total"":52.47}', what is the customer's email address?",0
"Given this detailed AWS CloudWatch log stream excerpt with 10 timestamps, thread IDs, log levels, and stack traces: what is the HTTP method of the request recorded at 14:02:11 UTC?",0
"Read this detailed 400-word software license agreement describing warranty disclaimers, liability limitations, derivative works, and redistribution rights. What jurisdiction's governing law is specified in Section 9?",0
"Here is a multi-step continuous integration pipeline YAML configuration specifying linting stages, Docker image builds, integration tests, Snyk vulnerability scans, and staging deployments. What Docker image tag is used in the build step?",0
"From this detailed database migration script creating 6 tables, 12 indexes, and 4 trigger functions: what is the exact name of the table created with the primary key 'tenant_id'?",0
"In this lengthy Kubernetes Helm values.yaml file defining resource limits, autoscaling flags, ingress annotations, and volume mounts: what is the memory limit specified for the web container?",0
Extract the error code number from this verbose 25-line Java stack trace: java.sql.SQLException: Connection refused with vendor error code 1045 on user admin.,0
"Here is a long CSV snippet containing 15 rows of employee attendance data with columns Name, Department, Date, CheckIn, CheckOut, Status. What time did Robert check in on Monday?",0
"From this detailed Prometheus metrics scrape output listing 50 different gauge, counter, and histogram values: what is the current value of the metric 'process_open_fds'?",0
"In this 10-paragraph customer satisfaction report detailing regional quarterly feedback across Europe, Asia, and the Americas: what percentage of respondents reported being highly satisfied in Germany?",0
"Read this multi-tenant OAuth2 token payload containing issuer, subject, audience, expiration, issued-at, scopes, and custom tenant claims. Extract the expiration timestamp integer.",0
"Here is an extensive Terraform plan output creating 14 AWS resources including VPC subnets, NAT gateways, security groups, and route tables. What CIDR block is assigned to the private subnet in us-east-1a?",0
"From this detailed server access log snippet: '192.168.1.45 - - [02/Sep/2026:10:14:22 +0000] ""GET /api/v2/users/991/profile HTTP/1.1"" 200 4521 ""https://app.com"" ""Mozilla/5.0"" 142ms', how many milliseconds did the request take to process?",0
"Below is a long markdown specification describing API authentication, rate limits, pagination query parameters, and error envelopes. What is the maximum page size allowed by the pagination query parameter?",0
"In this multi-line Envoy proxy configuration snippet defining clusters, endpoints, TLS contexts, and circuit breakers: what is the connect_timeout specified for the payment_cluster?",0
"From this lengthy Git commit log spanning 8 commits with authors, dates, commit hashes, and multi-line descriptions: extract the commit hash of the commit made by Sarah on Tuesday.",0
"Here is a detailed 300-word corporate security policy regarding password complexity, multi-factor authentication, session timeouts, and device encryption. How many characters is the minimum required password length?",0
From this raw XML response containing 30 nested tags of product inventory from multiple warehouses: what is the quantity in stock for product SKU 'WDG-002'?,0
"In this detailed GraphQL schema definition with 10 types, 4 interfaces, and 20 field resolvers: what is the return type of the 'getUserProfile' query?",0
Read this multi-page incident timeline log with minute-by-minute entries from 03:00 to 07:30 UTC. At what exact time did the incident commander declare the service fully restored?,0
From this lengthy crontab configuration with 12 scheduled jobs and environment variables: how often does the database vacuum script execute?,0
"In this detailed TLS certificate dump showing issuer, subject, validity dates, SAN domains, and public key algorithm: what is the certificate expiration date?",0
Below is an excerpt from a software bill of materials (SBOM) listing 40 open-source dependencies and their licenses. What version of the library 'pydantic' is specified?,0
"Extract the transaction reference number from this lengthy payment gateway webhook event containing customer details, billing address, card fingerprints, and fraud evaluation scores.",0
"In this lengthy Kubernetes cluster node description with system info, capacity, allocatable resources, and node conditions: how many CPU cores are listed under Capacity?",0
From this verbose Ansible playbook executing 15 tasks across multiple server groups: what is the name of the destination directory where the template file is copied?,0
